@relation Recidivsm2
@attribute sex {'Female','Male'}
@attribute age numeric
@attribute age_cat {'25 - 45','Greater than 45','Less than 25'}
@attribute race {'No Caucasian','Caucasian'}
@attribute juv_fel_count numeric
@attribute juv_misd_count numeric
@attribute juv_other_count numeric
@attribute priors_count numeric
@attribute days_b_screening_arrest numeric
@attribute c_days_from_compas numeric
@attribute c_charge_degree {'F','M'}
@attribute c_charge_desc {'','Abuse Without Great Harm','Accessory After the Fact','Agg Abuse Elderlly/Disabled Adult','Agg Assault Law Enforc Officer','Agg Assault W/int Com Fel Dome','Agg Battery Grt/Bod/Harm','Agg Fleeing and Eluding','Agg Fleeing/Eluding High Speed','Aggr Child Abuse-Torture,Punish','Aggrav Battery w/Deadly Weapon','Aggrav Child Abuse-Agg Battery','Aggrav Child Abuse-Causes Harm','Aggrav Stalking After Injunctn','Aggravated Assault','Aggravated Assault W/dead Weap','Aggravated Assault W/Dead Weap','Aggravated Assault w/Firearm','Aggravated Assault W/o Firearm','Aggravated Battery','Aggravated Battery (Firearm)','Aggravated Battery (Firearm/Actual Possession)','Aggravated Battery / Pregnant','Aggravated Battery On 65/Older','Aggress/Panhandle/Beg/Solict','Aide/Abet Prostitution Lewdness','Aiding Escape','Alcoholic Beverage Violation-FL','Armed Trafficking in Cannabis','arrest case no charge','Arson II (Vehicle)','Arson in the First Degree','Assault','Assault Law Enforcement Officer','Att Burgl Conv Occp','Att Burgl Struc/Conv Dwel/Occp','Att Burgl Unoccupied Dwel','Att Tamper w/Physical Evidence','Attempt Armed Burglary Dwell','Attempt Burglary (Struct)','Attempted Burg/Convey/Unocc','Attempted Burg/struct/unocc','Attempted Deliv Control Subst','Attempted Robbery  No Weapon','Attempted Robbery  Weapon','Attempted Robbery Firearm','Battery','Battery Emergency Care Provide','Battery on a Person Over 65','Battery On A Person Over 65','Battery On Fire Fighter','Battery on Law Enforc Officer','Battery On Parking Enfor Speci','Battery Spouse Or Girlfriend','Bribery Athletic Contests','Burgl Dwel/Struct/Convey Armed','Burglary Assault/Battery Armed','Burglary Conveyance Armed','Burglary Conveyance Assault/Bat','Burglary Conveyance Occupied','Burglary Conveyance Unoccup','Burglary Dwelling Armed','Burglary Dwelling Assault/Batt','Burglary Dwelling Occupied','Burglary Structure Assault/Batt','Burglary Structure Occupied','Burglary Structure Unoccup','Burglary Unoccupied Dwelling','Burglary With Assault/battery','Carjacking w/o Deadly Weapon','Carjacking with a Firearm','Carry Open/Uncov Bev In Pub','Carrying A Concealed Weapon','Carrying Concealed Firearm','Cash Item w/Intent to Defraud','Cause Anoth Phone Ring Repeat','Child Abuse','Compulsory Attendance Violation','Compulsory Sch Attnd Violation','Computer Pornography','Consp Traff Oxycodone  4g><14g','Consp Traff Oxycodone 28g><30k','Conspiracy Dealing Stolen Prop','Conspiracy to Deliver Cocaine','Consume Alcoholic Bev Pub','Contradict Statement','Contribute Delinquency Of A Minor','Corrupt Public Servant','Counterfeit Lic Plates/Sticker','Crim Attempt/Solic/Consp','Crim Attempt/Solicit/Consp','Crim Use of Personal ID Info','Crim Use Of Personal Id Info','Crimin Mischief Damage $1000+','Criminal Attempt 3rd Deg Felon','Criminal Mischief','Criminal Mischief Damage <$200','Criminal Mischief>$200<$1000','Crlty Twrd Child Urge Oth Act','Cruelty to Animals','Cruelty Toward Child','Culpable Negligence','D.U.I. Serious Bodily Injury','Dealing in Stolen Property','Dealing In Stolen Property','Defrauding Innkeeper','Defrauding Innkeeper $300/More','Del 3,4 Methylenedioxymethcath','Del Cannabis At/Near Park','Del Cannabis For Consideration','Del Morphine at/near Park','Del of JWH-250 2-Methox 1-Pentyl','Deliver 3,4 Methylenediox','Deliver Alprazolam','Deliver Cannabis','Deliver Cannabis 1000FTSch','Deliver Cocaine','Deliver Cocaine 1000FT Church','Deliver Cocaine 1000FT Park','Deliver Cocaine 1000FT School','Deliver Cocaine 1000FT Store','Delivery of 5-Fluoro PB-22','Delivery Of Drug Paraphernalia','Delivery of Heroin','Depriv LEO of Protect/Communic','Discharge Firearm From Vehicle','Disorderly Conduct','Disorderly Intoxication','Disrupting School Function','DOC/Cause Public Danger','Drivg While Lic Suspd/Revk/Can','Driving License Suspended','Driving Under The Influence','Driving While License Revoked','DUI- Enhanced','DUI - Enhanced','DUI - Property Damage/Personal Injury','DUI Blood Alcohol Above 0.20','DUI Level 0.15 Or Minor In Veh','DUI Property Damage/Injury','DUI/Property Damage/Persnl Inj','DWI w/Inj Susp Lic / Habit Off','DWLS Canceled Disqul 1st Off','DWLS Susp/Cancel Revoked','Escape','Exhibition Weapon School Prop','Expired DL More Than 6 Months','Exploit Elderly Person 20-100K','Exposes Culpable Negligence','Extradition/Defendants','Fabricating Physical Evidence','Fail Obey Driv Lic Restrictions','Fail Register Career Offender','Fail Register Vehicle','Fail Sex Offend Report Bylaw','Fail To Obey Police Officer','Fail To Redeliv Hire/Leas Prop','Fail To Redeliver Hire Prop','Fail To Secure Load','Failure To Pay Taxi Cab Charge','Failure To Return Hired Vehicle','False 911 Call','False Bomb Report','False Imprisonment','False Info LEO During Invest','False Motor Veh Insurance Card','False Name By Person Arrest','False Ownership Info/Pawn Item','Falsely Impersonating Officer','Fel Drive License Perm Revoke','Felon in Pos of Firearm or Amm','Felony Batt(Great Bodily Harm)','Felony Battery','Felony Battery (Dom Strang)','Felony Battery w/Prior Convict','Felony Committing Prostitution','Felony Driving While Lic Suspd','Felony DUI - Enhanced','Felony DUI (level 3)','Felony Petit Theft','Felony/Driving Under Influence','Fighting/Baiting Animals','Flee/Elude LEO-Agg Flee Unsafe','Fleeing Or Attmp Eluding A Leo','Fleeing or Eluding a LEO','Forging Bank Bills/Promis Note','Fraud Obtain Food or Lodging','Fraudulent Use of Credit Card','Gambling/Gamb Paraphernalia','Giving False Crime Report','Grand Theft (motor Vehicle)','Grand Theft (Motor Vehicle)','Grand Theft Dwell Property','Grand Theft Firearm','Grand Theft in the 1st Degree','Grand Theft in the 3rd Degree','Grand Theft In The 3Rd Degree','Grand Theft of a Fire Extinquisher','Grand Theft of the 2nd Degree','Grand Theft on 65 Yr or Older','Harass Witness/Victm/Informnt','Harm Public Servant Or Family','Hiring with Intent to Defraud','Imperson Public Officer or Emplyee','Insurance Fraud','Interfere W/Traf Cont Dev RR','Interference with Custody','Intoxicated/Safety Of Another','Introduce Contraband Into Jail','Issuing a Worthless Draft','Kidnapping / Domestic Violence','Lease For Purpose Trafficking','Leave Acc/Attend Veh/More $50','Leave Accd/Attend Veh/Less $50','Leaving Acc/Unattended Veh','Leaving the Scene of Accident','Lewd Act Presence Child 16-','Lewd or Lascivious Molestation','Lewd/Lasc Battery Pers 12+/<16','Lewd/Lasc Exhib Presence <16yr','Lewd/Lasciv Molest Elder Persn','Lewdness Violation','License Suspended Revoked','Littering','Live on Earnings of Prostitute','Lve/Scen/Acc/Veh/Prop/Damage','Manage Busn W/O City Occup Lic','Manslaughter W/Weapon/Firearm','Manufacture Cannabis','Misuse Of 911 Or E911 System','Money Launder 100K or More Dols','Murder in 2nd Degree','Murder In 2nd Degree W/firearm','Murder in the First Degree','Neglect Child / Bodily Harm','Neglect Child / No Bodily Harm','Neglect/Abuse Elderly Person','Obstruct Fire Equipment','Obstruct Officer W/Violence','Obtain Control Substance By Fraud','Offer Agree Secure For Lewd Act','Offer Agree Secure/Lewd Act','Offn Against Intellectual Prop','Open Carrying Of Weapon','Oper Motorcycle W/O Valid DL','Operating W/O Valid License','Opert With Susp DL 2nd Offens','Opert With Susp DL 2ND Offense','Petit Theft','Petit Theft $100- $300','PL/Unlaw Use Credit Card','Pos Cannabis For Consideration','Pos Cannabis W/Intent Sel/Del','Pos Methylenedioxymethcath W/I/D/S','Poss 3,4 MDMA (Ecstasy)','Poss Alprazolam W/int Sell/Del','Poss Anti-Shoplifting Device','Poss Cntrft Contr Sub w/Intent','Poss Cocaine/Intent To Del/Sel','Poss Contr Subst W/o Prescript','Poss Counterfeit Payment Inst','Poss Drugs W/O A Prescription','Poss F/Arm Delinq','Poss Firearm W/Altered ID#','Poss Meth/Diox/Meth/Amp (MDMA)','Poss Of 1,4-Butanediol','Poss of Cocaine W/I/D/S 1000FT Park','Poss Of Controlled Substance','Poss of Firearm by Convic Felo','Poss of Methylethcathinone','Poss Of RX Without RX','Poss of Vessel w/Altered ID NO','Poss Oxycodone W/Int/Sell/Del','Poss Pyrrolidinobutiophenone','Poss Pyrrolidinovalerophenone','Poss Pyrrolidinovalerophenone W/I/D/S','Poss Similitude of Drivers Lic','Poss Tetrahydrocannabinols','Poss Trifluoromethylphenylpipe','Poss Unlaw Issue Driver Licenc','Poss Unlaw Issue Id','Poss Wep Conv Felon','Poss/pur/sell/deliver Cocaine','Poss/Sell/Del Cocaine 1000FT Sch','Poss/Sell/Del/Man Amobarbital','Poss/Sell/Deliver Clonazepam','Poss3,4 Methylenedioxymethcath','Posses/Disply Susp/Revk/Frd DL','Possess Cannabis 1000FTSch','Possess Cannabis/20 Grams Or Less','Possess Controlled Substance','Possess Countrfeit Credit Card','Possess Drug Paraphernalia','Possess Mot Veh W/Alt Vin #','Possess Tobacco Product Under 18','Possess w/I/Utter Forged Bills','Possess Weapon On School Prop','Possess/Use Weapon 1 Deg Felon','Possession Burglary Tools','Possession Child Pornography','Possession Firearm School Prop','Possession Of 3,4Methylenediox','Possession of Alcohol Under 21','Possession Of Alprazolam','Possession Of Amphetamine','Possession Of Anabolic Steroid','Possession of Benzylpiperazine','Possession Of Buprenorphine','Possession of Butylone','Possession of Cannabis','Possession Of Carisoprodol','Possession Of Clonazepam','Possession of Cocaine','Possession Of Cocaine','Possession of Codeine','Possession Of Diazepam','Possession of Ethylone','Possession Of Fentanyl','Possession Of Heroin','Possession of Hydrocodone','Possession of Hydromorphone','Possession Of Lorazepam','Possession of LSD','Possession of Methadone','Possession Of Methamphetamine','Possession of Morphine','Possession of Oxycodone','Possession Of Paraphernalia','Possession Of Phentermine','Possession of XLR11','Present Proof of Invalid Insur','Principal In The First Degree','Prostitution','Prostitution/Lewd Act Assignation','Prostitution/Lewdness/Assign','Prowling/Loitering','Purchase Cannabis','Purchase Of Cocaine','Purchase/P/W/Int Cannabis','Purchasing Of Alprazolam','Reckless Driving','Refuse Submit Blood/Breath Test','Refuse to Supply DNA Sample','Resist Officer w/Violence','Resist/Obstruct W/O Violence','Restraining Order Dating Viol','Retail Theft $300 1st Offense','Retail Theft $300 2nd Offense','Ride Tri-Rail Without Paying','Robbery / No Weapon','Robbery / Weapon','Robbery Sudd Snatch No Weapon','Robbery W/Deadly Weapon','Robbery W/Firearm','Sale/Del Cannabis At/Near Scho','Sale/Del Counterfeit Cont Subs','Sel Etc/Pos/w/Int Contrft Schd','Sel/Pur/Mfr/Del Control Substa','Sell Cannabis','Sell Conterfeit Cont Substance','Sell or Offer for Sale Counterfeit Goods','Sell/Man/Del Pos/w/int Heroin','Sex Batt Faml/Cust Vict 12-17Y','Sex Battery Deft 18+/Vict 11-','Sex Offender Fail Comply W/Law','Sexual Battery / Vict 12 Yrs +','Sexual Performance by a Child','Shoot In Occupied Dwell','Shoot Into Vehicle','Simulation of Legal Process','Solic to Commit Battery','Solicit Deliver Cocaine','Solicit Purchase Cocaine','Solicit To Deliver Cocaine','Solicitation On Felony 3 Deg','Soliciting For Prostitution','Sound Articles Over 100','Stalking','Stalking (Aggravated)','Strong Armed  Robbery','Structuring Transactions','Susp Drivers Lic 1st Offense','Tamper With Victim','Tamper With Witness','Tamper With Witness/Victim/CI','Tampering with a Victim','Tampering With Physical Evidence','Theft','Theft/To Deprive','Threat Public Servant','Throw Deadly Missile Into Veh','Throw In Occupied Dwell','Throw Missile Into Pub/Priv Dw','Traff In Cocaine <400g>150 Kil','Traffic Counterfeit Cred Cards','Traffick Amphetamine 28g><200g','Traffick Hydrocodone   4g><14g','Traffick Oxycodone     4g><14g','Trans/Harm/Material to a Minor','Trespass On School Grounds','Trespass Other Struct/Conve','Trespass Private Property','Trespass Property w/Dang Weap','Trespass Struct/Convey Occupy','Trespass Struct/Conveyance','Trespass Structure w/Dang Weap','Trespass Structure/Conveyance','Trespassing/Construction Site','Tresspass in Structure or Conveyance','Tresspass Struct/Conveyance','Unauth C/P/S Sounds>1000/Audio','Unauth Poss ID Card or DL','Unauthorized Interf w/Railroad','Unemployment Compensatn Fraud','Unl/Disturb Education/Instui','Unlaw Lic Use/Disply Of Others','Unlaw LicTag/Sticker Attach','Unlaw Use False Name/Identity','Unlawful Conveyance of Fuel','Unlawful Use Of Police Badges','Unlicensed Telemarketing','Use Computer for Child Exploit','Use Of 2 Way Device To Fac Fel','Use of Anti-Shoplifting Device','Use Scanning Device to Defraud','Uttering a Forged Instrument','Uttering Forged Bills','Uttering Forged Credit Card','Uttering Worthless Check +$150','Video Voyeur-<24Y on Child >16','Viol Injunct Domestic Violence','Viol Injunction Protect Dom Vi','Viol Pretrial Release Dom Viol','Viol Prot Injunc Repeat Viol','Violation License Restrictions','Violation Of Boater Safety Id','Violation of Injunction Order/Stalking/Cyberstalking','Voyeurism'}
@attribute class numeric
@data
'Male',44,'25 - 45','Caucasian',0,0,0,13,0,1,'F','Crimin Mischief Damage $1000+',1
'Male',64,'Greater than 45','No Caucasian',0,0,0,0,-1,1,'F','Grand Theft in the 3rd Degree',0
'Male',30,'25 - 45','No Caucasian',0,0,0,1,-1,1,'F','Deliver Cocaine',1
'Male',61,'Greater than 45','No Caucasian',0,0,0,1,-1,1,'M','arrest case no charge',0
'Male',33,'25 - 45','Caucasian',0,0,0,0,?,1,'F','Driving While License Revoked',0
'Female',49,'Greater than 45','Caucasian',0,0,0,8,-10,10,'F','arrest case no charge',0
'Male',23,'Less than 25','No Caucasian',0,0,0,0,0,1,'F','Tampering With Physical Evidence',0
'Male',33,'25 - 45','No Caucasian',0,0,0,14,-79,79,'F','Resist Officer w/Violence',0
'Male',21,'Less than 25','Caucasian',0,0,0,0,-2,2,'F','Sale/Del Cannabis At/Near Scho',1
'Female',30,'25 - 45','Caucasian',0,0,0,2,-1,0,'F','Burglary Unoccupied Dwelling',1
'Male',26,'25 - 45','No Caucasian',0,0,1,7,0,1,'M','Battery',0
'Male',35,'25 - 45','No Caucasian',0,0,0,3,-1,1,'M','Battery',1
'Male',27,'25 - 45','No Caucasian',0,0,1,2,-1,1,'M','Possess Cannabis/20 Grams Or Less',0
'Male',38,'25 - 45','Caucasian',0,0,0,1,0,1,'M','Battery',0
'Male',48,'Greater than 45','No Caucasian',0,0,0,14,23,298,'F','arrest case no charge',1
'Male',26,'25 - 45','Caucasian',0,0,0,0,-1,1,'M','Battery',0
'Male',24,'Less than 25','No Caucasian',0,1,0,4,-27,27,'F','Possession of Cocaine',1
'Female',28,'25 - 45','No Caucasian',0,0,0,2,0,0,'F','Possession Of Alprazolam',1
'Female',44,'25 - 45','Caucasian',0,0,0,4,0,0,'F','Possession of Cocaine',1
'Male',23,'Less than 25','Caucasian',0,0,1,2,0,0,'F','Poss of Firearm by Convic Felo',0
'Female',34,'25 - 45','Caucasian',0,0,0,1,-1,1,'F','arrest case no charge',1
'Male',20,'Less than 25','Caucasian',0,1,0,1,-1,1,'F','Burglary Conveyance Unoccup',1
'Male',63,'Greater than 45','No Caucasian',0,0,0,23,-1,1,'F','Felony Petit Theft',1
'Female',36,'25 - 45','No Caucasian',0,0,0,0,0,0,'M','DUI Level 0.15 Or Minor In Veh',0
'Male',58,'Greater than 45','Caucasian',0,0,0,1,-1,1,'F','arrest case no charge',0
'Male',25,'25 - 45','No Caucasian',0,0,0,7,463,520,'F','arrest case no charge',1
'Male',46,'Greater than 45','Caucasian',0,0,0,5,125,240,'M','arrest case no charge',0
'Female',35,'25 - 45','Caucasian',0,0,0,4,-30,30,'F','Felony Battery w/Prior Convict',0
'Male',23,'Less than 25','No Caucasian',0,0,0,3,-1,1,'F','Burglary Unoccupied Dwelling',0
'Male',40,'25 - 45','Caucasian',0,0,0,1,-21,21,'F','Attempted Robbery  No Weapon',0
'Male',31,'25 - 45','No Caucasian',0,0,0,3,-1,1,'F','Tamper With Witness/Victim/CI',0
'Female',34,'25 - 45','No Caucasian',0,0,0,5,0,1,'F','Live on Earnings of Prostitute',0
'Male',23,'Less than 25','No Caucasian',0,0,0,3,-1,1,'M','Viol Prot Injunc Repeat Viol',1
'Male',27,'25 - 45','Caucasian',0,0,0,0,-5,5,'M','Fail Register Vehicle',1
'Female',26,'25 - 45','No Caucasian',0,0,0,3,-27,27,'F','Burglary With Assault/battery',0
'Male',49,'Greater than 45','No Caucasian',0,0,0,1,0,0,'F','Felony Battery (Dom Strang)',0
'Female',47,'Greater than 45','No Caucasian',0,0,0,0,0,0,'M','Battery',0
'Female',45,'Greater than 45','No Caucasian',0,0,0,1,?,147,'M','arrest case no charge',0
'Male',47,'Greater than 45','No Caucasian',0,0,0,6,0,0,'F','Att Tamper w/Physical Evidence',0
'Male',34,'25 - 45','No Caucasian',0,0,0,7,0,1,'F','Possession of Cannabis',1
'Male',45,'Greater than 45','No Caucasian',0,0,0,1,378,37,'M','Viol Prot Injunc Repeat Viol',0
'Male',27,'25 - 45','No Caucasian',0,0,0,10,-1,1,'F','arrest case no charge',0
'Female',52,'Greater than 45','Caucasian',0,0,0,0,0,1,'M','Battery',0
'Male',26,'25 - 45','No Caucasian',0,0,0,0,-3,3,'M','Operating W/O Valid License',1
'Male',25,'25 - 45','No Caucasian',0,0,1,9,0,1,'F','Driving While License Revoked',0
'Male',51,'Greater than 45','No Caucasian',0,0,0,1,-1,1,'F','arrest case no charge',0
'Female',29,'25 - 45','No Caucasian',0,0,0,1,0,0,'M','Refuse to Supply DNA Sample',0
'Male',39,'25 - 45','No Caucasian',0,0,0,1,?,5806,'F','arrest case no charge',0
'Male',46,'Greater than 45','Caucasian',0,0,0,0,-1,1,'F','Stalking (Aggravated)',0
'Male',28,'25 - 45','Caucasian',0,0,0,6,-2,2,'F','Grand Theft in the 3rd Degree',0
'Male',57,'Greater than 45','No Caucasian',0,0,0,0,-1,1,'F','Felony Battery (Dom Strang)',0
'Male',23,'Less than 25','No Caucasian',0,0,0,2,-1,1,'F','Sel/Pur/Mfr/Del Control Substa',0
'Male',34,'25 - 45','No Caucasian',0,0,0,27,-1,1,'F','Felony Petit Theft',1
'Male',27,'25 - 45','No Caucasian',0,0,0,3,-1,1,'F','arrest case no charge',0
'Male',25,'25 - 45','No Caucasian',0,0,1,7,-1,1,'M','Viol Injunct Domestic Violence',1
'Male',31,'25 - 45','Caucasian',0,0,0,1,-1,1,'F','Grand Theft in the 3rd Degree',1
'Male',37,'25 - 45','No Caucasian',0,0,0,8,-1,1,'F','Burglary Unoccupied Dwelling',0
'Male',51,'Greater than 45','No Caucasian',0,0,0,0,0,0,'F','Possession of Cocaine',1
'Male',51,'Greater than 45','No Caucasian',0,0,0,3,-86,14,'M','Disorderly Conduct',0
'Male',28,'25 - 45','No Caucasian',0,1,0,8,-1,1,'F','Resist Officer w/Violence',0
'Male',56,'Greater than 45','Caucasian',0,0,0,4,0,0,'F','Possession of Cocaine',0
'Male',45,'Greater than 45','No Caucasian',0,0,0,15,-1,1,'F','Att Burgl Unoccupied Dwel',1
'Male',26,'25 - 45','Caucasian',0,0,0,7,-1,1,'F','Burglary Dwelling Occupied',1
'Male',33,'25 - 45','Caucasian',0,0,0,7,-1,1,'F','Felony Battery (Dom Strang)',1
'Male',23,'Less than 25','Caucasian',0,0,3,0,-2,2,'M','Battery',0
'Male',31,'25 - 45','No Caucasian',0,0,0,0,0,0,'M','Poss Drugs W/O A Prescription',0
'Male',31,'25 - 45','No Caucasian',0,0,0,0,-1,1,'M','Battery',0
'Male',19,'Less than 25','No Caucasian',1,0,0,1,-12,12,'F','arrest case no charge',0
'Male',32,'25 - 45','Caucasian',0,0,0,0,0,0,'F','Aggravated Assault W/o Firearm',0
'Male',30,'25 - 45','Caucasian',0,0,0,1,-1,1,'M','Driving Under The Influence',1
'Female',48,'Greater than 45','No Caucasian',0,0,0,9,-87,87,'F','arrest case no charge',0
'Male',66,'Greater than 45','Caucasian',0,0,0,1,-1,1,'F','arrest case no charge',0
'Female',40,'25 - 45','No Caucasian',0,0,0,0,0,1,'F','Grand Theft in the 1st Degree',0
'Male',59,'Greater than 45','No Caucasian',0,0,0,4,0,1,'M','Battery',0
'Male',25,'25 - 45','No Caucasian',0,0,0,5,118,120,'F','arrest case no charge',0
'Male',27,'25 - 45','No Caucasian',0,0,0,3,-23,282,'M','Leave Accd/Attend Veh/Less $50',0
'Male',22,'Less than 25','No Caucasian',0,0,0,0,-1,1,'F','Grand Theft in the 3rd Degree',0
'Male',58,'Greater than 45','Caucasian',0,0,0,1,-1,1,'F','Fel Drive License Perm Revoke',0
'Male',49,'Greater than 45','No Caucasian',0,0,0,1,?,1,'M','Battery',0
'Male',29,'25 - 45','Caucasian',0,0,0,2,-2,2,'F','Grand Theft in the 3rd Degree',0
'Female',44,'25 - 45','Caucasian',0,0,0,11,245,1,'F','Felony Battery w/Prior Convict',1
'Male',24,'Less than 25','No Caucasian',0,0,0,2,203,453,'F','Burglary Unoccupied Dwelling',0
'Male',27,'25 - 45','No Caucasian',0,0,0,0,-1,1,'F','Aggravated Assault W/Dead Weap',1
'Female',34,'25 - 45','No Caucasian',0,0,0,5,-53,53,'F','Resist Officer w/Violence',1
'Male',24,'Less than 25','Caucasian',0,0,0,0,-3,3,'F','Possession Of Alprazolam',0
'Female',35,'25 - 45','Caucasian',0,1,0,3,0,0,'F','Aggrav Battery w/Deadly Weapon',0
'Male',65,'Greater than 45','Caucasian',0,0,0,4,?,68,'M','Battery',0
'Male',29,'25 - 45','No Caucasian',0,2,1,7,0,0,'F','Grand Theft in the 3rd Degree',1
'Male',30,'25 - 45','No Caucasian',1,0,0,5,-1,1,'F','Aggravated Assault W/dead Weap',1
'Male',23,'Less than 25','No Caucasian',0,1,1,1,-1,1,'F','Possession Burglary Tools',0
'Male',32,'25 - 45','Caucasian',0,0,0,2,-27,27,'F','Possession Of Heroin',1
'Male',22,'Less than 25','Caucasian',0,0,0,2,-1,1,'F','arrest case no charge',0
'Male',21,'Less than 25','No Caucasian',0,0,0,0,-1,1,'M','Battery',0
'Female',43,'25 - 45','Caucasian',0,0,0,0,-1,2,'M','Battery',0
'Male',29,'25 - 45','No Caucasian',0,0,0,0,-1,1,'F','Poss of Cocaine W/I/D/S 1000FT Park',0
'Male',43,'25 - 45','No Caucasian',0,0,0,1,0,1,'F','Robbery Sudd Snatch No Weapon',0
'Male',25,'25 - 45','No Caucasian',0,0,0,1,-1,1,'F','arrest case no charge',0
'Male',47,'Greater than 45','Caucasian',0,0,0,0,-1,1,'M','Battery',0
'Female',21,'Less than 25','No Caucasian',0,0,0,0,-2,2,'F','Grand Theft in the 3rd Degree',0
'Female',25,'25 - 45','No Caucasian',0,0,0,1,-100,1554,'M','Disorderly Conduct',0
'Male',54,'Greater than 45','Caucasian',0,0,0,0,0,1,'M','Battery',0
'Male',34,'25 - 45','No Caucasian',0,0,1,3,-1,1,'F','Lewd Act Presence Child 16-',1
'Female',28,'25 - 45','No Caucasian',0,0,0,2,-1,1,'M','Battery',0
'Female',53,'Greater than 45','Caucasian',0,0,0,4,-1,1,'F','Poss Contr Subst W/o Prescript',1
'Male',54,'Greater than 45','No Caucasian',0,0,0,0,0,1,'M','Soliciting For Prostitution',0
'Male',37,'25 - 45','No Caucasian',0,0,0,3,-1,1,'F','arrest case no charge',1
'Male',34,'25 - 45','No Caucasian',0,0,0,2,-1,1,'F','Felony Driving While Lic Suspd',0
'Male',50,'Greater than 45','No Caucasian',0,0,0,11,-210,210,'M','Extradition/Defendants',0
'Female',60,'Greater than 45','Caucasian',0,0,0,0,-1,1,'F','Battery on Law Enforc Officer',1
'Male',22,'Less than 25','No Caucasian',0,0,0,0,-1,1,'F','Grand Theft in the 3rd Degree',0
'Male',51,'Greater than 45','No Caucasian',0,0,0,3,0,1,'F','Felony Driving While Lic Suspd',0
'Male',29,'25 - 45','No Caucasian',0,0,0,0,-1,1,'F','Felony Battery (Dom Strang)',1
'Female',28,'25 - 45','No Caucasian',0,0,0,1,-43,43,'F','Uttering a Forged Instrument',0
'Male',36,'25 - 45','Caucasian',0,0,0,6,-126,131,'F','Grand Theft in the 3rd Degree',0
'Male',28,'25 - 45','No Caucasian',0,0,1,5,-1,1,'M','arrest case no charge',0
'Male',33,'25 - 45','Caucasian',0,0,0,0,-1,1,'F','Grand Theft (Motor Vehicle)',1
'Male',43,'25 - 45','Caucasian',0,0,0,4,0,0,'M','Battery',0
'Male',45,'Greater than 45','No Caucasian',0,0,0,1,-1,1,'M','Battery',0
'Male',32,'25 - 45','Caucasian',0,0,0,5,-1,1,'F','Resist Officer w/Violence',1
'Female',35,'25 - 45','No Caucasian',0,0,0,0,-1,1,'F','Possession of Cocaine',1
'Male',23,'Less than 25','No Caucasian',0,0,0,1,-1,1,'F','Felony Batt(Great Bodily Harm)',1
'Male',41,'25 - 45','No Caucasian',0,0,0,1,-1,1,'M','Aggrav Battery w/Deadly Weapon',0
'Male',25,'25 - 45','No Caucasian',20,0,0,24,-1,1,'F','arrest case no charge',1
'Male',35,'25 - 45','No Caucasian',0,1,0,12,-1,1,'F','Aggravated Assault W/Dead Weap',0
'Male',25,'25 - 45','No Caucasian',0,0,0,4,0,0,'F','Crim Use of Personal ID Info',1
'Male',69,'Greater than 45','Caucasian',0,0,0,6,-1,1,'F','Driving While License Revoked',1
'Male',24,'Less than 25','No Caucasian',0,0,0,0,-1,1,'M','Battery',0
'Male',21,'Less than 25','No Caucasian',0,0,0,3,34,38,'F','Grand Theft (Motor Vehicle)',1
'Male',28,'25 - 45','No Caucasian',0,0,0,0,-1,1,'F','Grand Theft in the 3rd Degree',0
'Male',47,'Greater than 45','No Caucasian',0,0,0,23,-1,1,'F','Poss Wep Conv Felon',1
'Male',59,'Greater than 45','No Caucasian',0,0,0,1,?,9,'F','Possession Of Alprazolam',0
'Male',29,'25 - 45','No Caucasian',0,1,0,13,0,0,'F','Poss Pyrrolidinovalerophenone',1
'Male',36,'25 - 45','Caucasian',0,0,0,14,-38,38,'F','Grand Theft in the 3rd Degree',1
'Male',26,'25 - 45','No Caucasian',0,0,0,9,-1,1,'F','Drivg While Lic Suspd/Revk/Can',1
'Male',31,'25 - 45','No Caucasian',0,0,0,0,-1,1,'M','Viol Prot Injunc Repeat Viol',0
'Male',32,'25 - 45','No Caucasian',0,0,0,8,35,0,'F','Grand Theft in the 3rd Degree',1
'Female',27,'25 - 45','Caucasian',0,0,0,3,-121,121,'F','arrest case no charge',1
'Male',28,'25 - 45','Caucasian',0,0,0,0,0,1,'F','Deliver 3,4 Methylenediox',0
'Male',48,'Greater than 45','Caucasian',0,0,0,1,0,1,'M','Driving Under The Influence',1
'Male',23,'Less than 25','Caucasian',0,0,0,2,129,232,'F','arrest case no charge',1
'Male',44,'25 - 45','Caucasian',0,0,0,0,-1,1,'M','Battery',0
'Male',42,'25 - 45','No Caucasian',0,0,0,7,-1,1,'M','Driving License Suspended',0
'Male',39,'25 - 45','No Caucasian',0,0,0,5,-1,1,'F','Grand Theft in the 3rd Degree',0
'Female',46,'Greater than 45','No Caucasian',0,0,0,2,-1,1,'F','Grand Theft in the 3rd Degree',0
'Male',55,'Greater than 45','Caucasian',0,0,0,0,-1,1,'M','Battery',0
'Male',27,'25 - 45','No Caucasian',0,0,0,5,-1,1,'F','Burglary Dwelling Occupied',1
'Female',31,'25 - 45','Caucasian',0,0,0,0,-1,1,'M','Battery',0
'Male',25,'25 - 45','No Caucasian',0,0,0,0,-1,1,'F','Poss Tetrahydrocannabinols',0
'Male',32,'25 - 45','Caucasian',0,0,2,6,0,0,'M','Refuse Submit Blood/Breath Test',0
